classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
inception,TSC,50words,0.0,0.6835408286679022,0.8175824175824176,0.6820442646964318,330.6348717212677
inception,TSC,Adiac,0.0,0.8349570474570474,0.8184143222506394,0.825992250992251,236.08765959739685
inception,TSC,ArrowHead,0.0,0.833364254792826,0.8228571428571428,0.8371160331783795,201.75788497924805
inception,TSC,Beef,0.0,0.7777777777777778,0.7,0.7,202.6027903556824
inception,TSC,BeetleFly,0.0,0.8571428571428572,0.8,0.8,200.48681020736691
inception,TSC,BirdChicken,0.0,0.9166666666666669,0.9,0.9,201.23791885375977
inception,TSC,Car,0.0,0.8875,0.8833333333333333,0.8836032388663968,210.04617190361023
inception,TSC,CBF,0.0,0.9977850627872152,0.9977777777777778,0.9977777777777778,203.0764124393463
inception,TSC,ChlorineConcentration,0.0,0.8793683977337045,0.8796875,0.8453258587111817,265.5833549499512
inception,TSC,CinC_ECG_torso,0.0,0.8545899156323071,0.8405797101449275,0.8412427882780006,255.20382738113403
inception,TSC,Coffee,0.0,1.0,1.0,1.0,202.2325325012207
inception,TSC,Computers,0.0,0.816080916714679,0.816,0.8160000000000001,356.92212319374084
inception,TSC,Cricket_X,0.0,0.8670688541504971,0.8538461538461538,0.8641398527632415,303.3799617290497
inception,TSC,Cricket_Y,0.0,0.8393905775575768,0.8307692307692308,0.8329671363316793,303.9960563182831
inception,TSC,Cricket_Z,0.0,0.856116675033527,0.8564102564102564,0.8509246144011143,301.8347716331482
inception,TSC,DiatomSizeReduction,0.0,0.9610091743119268,0.9444444444444444,0.9252901353965184,197.7346613407135
inception,TSC,DistalPhalanxOutlineAgeGroup,0.0,0.8311694046988164,0.82,0.70806254758598,96.58634543418884
inception,TSC,DistalPhalanxOutlineCorrect,0.0,0.7728492567002907,0.7883333333333333,0.7762405262405263,154.77714824676514
inception,TSC,DistalPhalanxTW,0.0,0.4803268368705465,0.735,0.4798626243333596,96.65062308311462
inception,TSC,Earthquakes,0.0,0.5984848484848485,0.8012422360248447,0.5424503657262278,177.79301953315735
inception,TSC,ECG200,0.0,0.9016544117647058,0.9,0.8793402777777778,78.5982038974762
inception,TSC,ECG5000,0.0,0.7051426483786506,0.9386666666666666,0.580445879249827,253.11957216262817
inception,TSC,ECGFiveDays,0.0,1.0,1.0,1.0,200.7437753677368
inception,TSC,ElectricDevices,0.0,0.6784648923066857,0.7026326027752561,0.6142979918753675,4113.287806987762
inception,TSC,FaceAll,0.0,0.8938909644549142,0.785207100591716,0.8971863845980688,286.5022518634796
inception,TSC,FaceFour,0.0,0.9596774193548387,0.9431818181818182,0.9484265734265734,202.00203919410703
inception,TSC,FacesUCR,0.0,0.9632973009779926,0.9653658536585366,0.9475710394791256,124.86306929588318
inception,TSC,FISH,0.0,0.9775132275132272,0.9771428571428572,0.979093361482524,182.84291338920596
inception,TSC,FordA,0.0,0.9455065341302328,0.9452929741738406,0.9450684161951768,1338.746913433075
inception,TSC,FordB,0.0,0.931764270504086,0.9312431243124312,0.9308885498401628,828.7209844589233
inception,TSC,Gun_Point,0.0,0.9935064935064934,0.9933333333333332,0.9932432432432432,203.9361379146576
inception,TSC,Ham,0.0,0.7385596399099775,0.7333333333333333,0.7309368191721133,125.48014497756958
inception,TSC,HandOutlines,0.0,0.8887707224111381,0.891,0.8727506538041878,1656.8360574245453
inception,TSC,Haptics,0.0,0.5581093993088542,0.5551948051948052,0.554397805682284,324.5467441082001
inception,TSC,Herring,0.0,0.6437246963562753,0.65625,0.6437246963562753,205.79579091072085
inception,TSC,InlineSkate,0.0,0.5015495476541132,0.4781818181818182,0.4901691762512138,342.9532492160797
inception,TSC,InsectWingbeatSound,0.0,0.6285878709158692,0.6252525252525253,0.6252525252525253,164.64471745491028
inception,TSC,ItalyPowerDemand,0.0,0.9660092938909668,0.9659863945578232,0.9659776055124892,66.72266435623169
